MUNICIPIOS;Cultura;Tipo;Ano;Nº  PRODUTORES;PRODUÇÃO COLHIDA (t);ÁREA COLHIDA (ha);PREÇO   (R$/KG);PRODUTIVIDADE    (t/ha);FATURAMENTO BRUTO(R$)
Queimados ;Couve;Olerícolas Folhas;2019;4;9.41;0.9;1.0185;10.46;9.583.80
Resende ;Couve;Olerícolas Folhas;2019;4;176.15;6.7;2.0329;26.29;358.095.00
Rio Claro ;Couve;Olerícolas Folhas;2019;3;659.08;18.4;6.3104;35.82;4.159.065.00
Rio das Ostras ;Couve;Olerícolas Folhas;2019;2;5.91;0.45;1.1925;13.13;7.047.50
Rio de Janeiro ;Couve;Olerícolas Folhas;2019;65;1.413.00;51.9;2.1187;27.23;2.993.700.00
São João da Barra ;Couve;Olerícolas Folhas;2019;13;54;1.2;1.8667;45;100.800.00
Seropédica ;Couve;Olerícolas Folhas;2019;36;569;19;3.6531;29.95;2.078.600.00
Sumidouro ;Couve;Olerícolas Folhas;2019;283;9.746.00;193;4.7325;50.5;46.123.100.00
Teresópolis ;Couve;Olerícolas Folhas;2019;510;20.970.00;349.5;1.5884;60;33.309.000.00
Valença ;Couve;Olerícolas Folhas;2019;29;1.154.45;27.74;4.9441;41.62;5.707.710.50
Varre-Sai ;Couve;Olerícolas Folhas;2019;2;90;5.7;2.0872;15.79;187.850.00
Vassouras ;Couve;Olerícolas Folhas;2019;12;73.5;3.35;2.6789;21.94;196.900.00
Volta Redonda ;Couve;Olerícolas Folhas;2019;20;354.5;11.5;2.7566;30.83;977.200.00
Barra do Pirai ;Couve Flor;Olerícolas Folhas;2019;1;16.8;0.73;3.3243;23.01;55.847.50
Barra Mansas ;Couve Flor;Olerícolas Folhas;2019;1;33.78;1.47;2.0666;22.98;69.809.00
Bom Jardim ;Couve Flor;Olerícolas Folhas;2019;215;2.575.00;103;1.076;25;2.770.750.00
Duas Barras ;Couve Flor;Olerícolas Folhas;2019;7;200.8;9.3;1.1789;21.59;236.730.00
Nova Friburgo ;Couve Flor;Olerícolas Folhas;2019;727;18.853.00;541.75;1.6501;34.8;31.109.900.00
Petrópolis ;Couve Flor;Olerícolas Folhas;2019;32;199;10;2.998;19.9;596.600.00
Rio Claro ;Couve Flor;Olerícolas Folhas;2019;1;87.67;3.5;2.5032;25.05;219.455.00
São José do Vale do Rio Preto ;Couve Flor;Olerícolas Folhas;2019;375;3.800.00;190;1.0946;20;4.159.400.00
Sapucaia ;Couve Flor;Olerícolas Folhas;2019;36;1.260.00;36;0.7972;35;1.004.500.00
Sumidouro ;Couve Flor;Olerícolas Folhas;2019;124;3.207.54;111;0.9399;28.9;3.014.910.10
Teresópolis ;Couve Flor;Olerícolas Folhas;2019;65;1.249.00;35.62;1.1905;35.06;1.486.900.00
Trajano de Morais ;Couve Flor;Olerícolas Folhas;2019;68;917;41.4;1.5599;22.15;1.430.414.00
Valença ;Couve Flor;Olerícolas Folhas;2019;11;157.77;4.76;5.1451;33.14;811.735.00
Barra Mansas ;Espinafre;Olerícolas Folhas;2019;5;55.5;2.39;1.2713;23.22;70.556.50
Petrópolis ;Espinafre;Olerícolas Folhas;2019;60;358;11.2;2.4672;31.96;883.240.00
São Pedro da Aldeia ;Espinafre;Olerícolas Folhas;2019;1;1.5;0.5;8.3;3;12.450.00
Teresópolis ;Espinafre;Olerícolas Folhas;2019;300;8.223.00;236.7;1.2198;34.74;10.030.100.00
Barra Mansas ;Repolho;Olerícolas Folhas;2019;3;102.2;3.52;1.4891;29.03;152.184.50
Bom Jardim ;Repolho;Olerícolas Folhas;2019;221;5.568.00;116;0.9882;48;5.502.240.00
Cordeiro ;Repolho;Olerícolas Folhas;2019;3;100;2.5;1.07;40;107.000.00
Duas Barras ;Repolho;Olerícolas Folhas;2019;66;2.515.00;60.3;0.732;41.71;1.840.900.00
Nova Friburgo ;Repolho;Olerícolas Folhas;2019;86;2.255.77;53.5;0.711;42.16;1.603.854.00
Paty do Alferes ;Repolho;Olerícolas Folhas;2019;99;1.480.79;38;0.7741;38.97;1.146.305.80
Petrópolis ;Repolho;Olerícolas Folhas;2019;29;231;7.2;0.8919;32.08;206.040.00
Rio Claro ;Repolho;Olerícolas Folhas;2019;1;88.6;3.4;2.3043;26.06;204.165.00
São José do Vale do Rio Preto ;Repolho;Olerícolas Folhas;2019;59;1.110.00;18.5;0.773;60;858.000.00
Sapucaia ;Repolho;Olerícolas Folhas;2019;41;2.378.00;41;1.0207;58;2.427.300.00
Seropédica ;Repolho;Olerícolas Folhas;2019;2;54;1;0.8889;54;48.000.00
Sumidouro ;Repolho;Olerícolas Folhas;2019;332;8.906.00;221;0.5441;40.3;4.845.870.00
Teresópolis ;Repolho;Olerícolas Folhas;2019;80;2.183.50;46.9;0.6994;46.56;1.527.230.00
Trajano de Morais ;Repolho;Olerícolas Folhas;2019;68;2.106.08;56.65;0.837;37.18;1.762.713.00
Vassouras ;Repolho;Olerícolas Folhas;2019;12;306;6.6;1.4356;46.36;439.300.00
Armação dos Búzios ;Rúcula;Olerícolas Folhas;2019;11;12.81;2.57;3.2011;4.98;41.006.00
Barra Mansas ;Rúcula;Olerícolas Folhas;2019;2;32.16;2.71;1.2977;11.87;41.733.50
Teresópolis ;Rúcula;Olerícolas Folhas;2019;56;283;24.1;3.4982;11.74;990.000.00
Volta Redonda ;Rúcula;Olerícolas Folhas;2019;15;39.3;4.9;4.4193;8.02;173.680.00
Macaé ;Rúcula*;Olerícolas Folhas;2019;1;0.03;0.01;7.5;3;225
Teresópolis ;Rúcula*;Olerícolas Folhas;2019;50;1.497.00;36.7;4.5104;40.79;6.752.000.00
Barra Mansas ;Salsa;Olerícolas Folhas;2019;18;515.05;21.78;1.6942;23.65;872.615.00
Macaé ;Salsa;Olerícolas Folhas;2019;12;1.5;0.27;8.8;5.56;13.200.00
Nova Friburgo ;Salsa;Olerícolas Folhas;2019;79;1.166.40;31.58;3.0596;36.93;3.568.660.00
Paraty ;Salsa;Olerícolas Folhas;2019;3;145.2;8;8.043;18.15;1.167.850.00
Petrópolis ;Salsa;Olerícolas Folhas;2019;63;647;22.8;1.7424;28.38;1.127.330.00
Queimados ;Salsa;Olerícolas Folhas;2019;3;2.14;0.21;1.2664;10.19;2.710.00
Resende ;Salsa;Olerícolas Folhas;2019;3;56.25;2.55;1.2704;22.06;71.460.00
Rio Claro ;Salsa;Olerícolas Folhas;2019;3;158.26;7.85;3.2096;20.16;507.949.00
Rio das Ostras ;Salsa;Olerícolas Folhas;2019;1;0.7;0.03;2.7;23.33;1.890.00
Rio de Janeiro ;Salsa;Olerícolas Folhas;2019;44;891.6;27.39;1.7623;32.55;1.571.295.00
Seropédica ;Salsa;Olerícolas Folhas;2019;31;508;19.4;3.2224;26.19;1.637.000.00
Sumidouro ;Salsa;Olerícolas Folhas;2019;132;2.380.00;68;2.3672;35;5.633.950.00
Teresópolis ;Salsa;Olerícolas Folhas;2019;100;1.507.50;42.9;1.7288;35.14;2.606.100.00
Volta Redonda ;Salsa;Olerícolas Folhas;2019;10;135;9.1;4.6259;14.84;624.500.00
Aperibé ;Abobora;Olerícolas Frutas;2019;2;12;1;1.65;12;19.800.00
Araruama ;Abobora;Olerícolas Frutas;2019;24;342;22.5;1.0395;15.2;355.500.00
Armação dos Búzios ;Abobora;Olerícolas Frutas;2019;12;29.2;2.6;1.8074;11.23;52.775.00
Bom Jesus do Itabapoana ;Abobora;Olerícolas Frutas;2019;3;294;28;1.7218;10.5;506.200.00
Cabo Frio ;Abobora;Olerícolas Frutas;2019;17;77;7.6;1.8857;10.13;145.200.00
Cachoeiras de Macacu ;Abobora;Olerícolas Frutas;2019;40;196;20.3;1.4393;9.66;282.100.00
Campos dos Goytacases ;Abobora;Olerícolas Frutas;2019;19;131;12;0.8592;10.92;112.550.00
Cantagalo ;Abobora;Olerícolas Frutas;2019;1;13;1;1;13;13.000.00
Carapebus ;Abobora;Olerícolas Frutas;2019;5;32;5;1.1227;6.4;35.925.00
Carmo ;Abobora;Olerícolas Frutas;2019;4;37.5;2.5;1.114;15;41.775.00
Casimiro de Abreu ;Abobora;Olerícolas Frutas;2019;11;195;17;2.1154;11.47;412.500.00
