ORDEM Decrescente de Faturamento;;;;;;
CULTURAS;Nº  PRODUTORES;PRODUÇÃO COLHIDA (t);ÁREA COLHIDA (ha);PREÇO   (R$/KG);PRODUTIVIDADE    (t/ha);FATURAMENTO BRUTO(R$)
CARÁ ;11;208;13;1,8192;16;378.400,00
ABACATE ;66;196,79;28,58;1,3472;6,89;265.114,40
GRAVIOLA ;3;33;3;6,7273;11;222.000,00
LIXIA ;4;15,6;4,6;10;3,39;156.000,00
ACEROLA ;6;27,45;6;2,6975;4,58;74.047,50
FIGO ;1;3,9;0,35;7,9077;11,14;30.840,00
PINHA ;1;3;2;8,1333;1,5;24.400,00
PESSEGO ;1;3;0,3;5,12;10;15.360,00
URUCUM ;2;15;10;1;1,5;15.000,00
CAJU ;1;4,7;0,6;1,9064;7,83;8.960,00
MELANCIA ;6;8,6;0,4;0,7733;21,5;6.650,00
ESTADO;53.492;3.987.005,54;139.060,52;0,5315;28,67;2.119.056.239,10
