RELATÓRIO POR CULTURAS DO SISTEMA ASPA/AGROGEO-ANO2019;;;;;;
ESTADO DO RIO DE JANEIRO;;;;;;
;;;;;;
CULTURAS/MUNICIPIOS;Nº  PRODUTORES;PRODUÇÃO COLHIDA (t);ÁREA COLHIDA (ha);PREÇO   (R$/KG);PRODUTIVIDADE    (t/ha);
GRUPO : Fruticultura;;;;;;
CULTURA : ABACATE;;;;;;FATURAMENTO BRUTO(R$)
Duque de Caxias ;4;107,9;8,95;2,0667;12,06;200.700,00
Guapimirim ;5;202;28,8;1,198;7,01;39.575,00
Itaboraí ;8;41,31;3,86;1,0387;10,7;223.000,00
Itaguaí ;30;2.550,00;110;1,0257;23,18;242.000,00
Italva ;8;376;12;1,3337;31,33;42.909,00
Itaocara ;10;130;8;1,4346;16,25;2.615.500,00
Itaperuna ;6;145,2;9,8;1,2187;14,82;501.486,00
Japeri ;38;764;45;0,9641;16,98;186.500,00
Magé ;11;115;11,5;1,9035;10;176.960,00
Mangaratiba ;14;193;11;1,7777;17,55;736.600,00
Maricá ;7;31,22;21,1;0,7945;1,48;218.900,00
Natividade ;4;84,9;6;1,1837;14,15;343.100,00
Nova Iguaçu ;19;320;24;0,9407;13,33;24.805,50
Paracambi ;3;6;4;2;1,5;100.500,00
Quissamã ;50;16.450,00;700;0,4959;23,5;301.020,00
Rio Bonito ;51;3.710,00;165;1,1434;22,48;12.000,00
Rio das Ostras ;4;48,2;3,5;0,975;13,77;8.157.500,00
Rio de Janeiro ;56;5.030,00;324;0,9474;15,52;4.242.000,00
Santo Antônio de Pádua ;9;180;9;1,8;20;46.994,00
São Fidélis ;6;427,96;30;1,5;14,27;4.765.600,00
São Francisco de Itabapoana ;42;188;77;1,0521;2,44;324.000,00
São Gonçalo ;12;352,5;23,5;1,6119;15;641.940,00
São João da Barra ;52;2.344,50;93;1,0611;25,21;197.800,00
São Pedro da Aldeia ;3;239;7;1,118;34,14;568.200,00
Saquarema ;30;1.649,00;111;1,4018;14,86;2.487.700,00
Seropédica ;38;1.422,00;110;1,0442;12,93;267.200,00
Silva Jardim ;11;353;23;0,9836;15,35;2.311.500,00
Tanguá ;35;442,3;33;1,1458;13,4;1.484.900,00
Três Rios ;1;39,77;3;1,7322;13,26;347.200,00
TOTAL COCO VERDE ;668;41.176,76;2.214,71;0,9133;18,59;506.785,00
CULTURA : FIGO;;;;;;68.890,80
Duas Barras ;1;3,9;0,35;7,9077;11,14;37.604.805,30
TOTAL FIGO ;1;3,9;0,35;7,9077;11,14;
CULTURA : GOIABA;;;;;;30.840,00
Bom Jardim ;92;760;26;2,2559;29,23;30.840,00
Bom Jesus do Itabapoana ;5;231,5;6,5;2,2233;35,62;
Cabo Frio ;5;55,6;3,6;1,7373;15,44;1.714.500,00
Cachoeiras de Macacu ;150;16.630,00;527;1,3446;31,56;514.700,00
Campos dos Goytacases ;12;63;5;0,919;12,6;96.595,00
Duas Barras ;2;17,2;0,69;3,4058;24,93;22.360.000,00
Duque de Caxias ;9;402;24,4;2,4649;16,48;57.900,00
Guapimirim ;9;563;42,1;2,0214;13,37;58.580,00
Itaguaí ;5;241;22;2,8631;10,95;990.900,00
Italva ;2;56,4;3;1,4716;18,8;1.138.050,00
Itaocara ;5;125;6;1,1224;20,83;690.000,00
Japeri ;1;68;2;2,4118;34;83.000,00
Magé ;21;624;26;2,4837;24;140.300,00
Nova Friburgo ;25;478,5;15,5;2,0399;30,87;164.000,00
Nova Iguaçu ;4;198;6;2,5;33;1.549.800,00
São Francisco de Itabapoana ;8;200;10;1,66;20;976.075,00
São João da Barra ;15;485,5;19,5;1,5154;24,9;495.000,00
São Sebastião do Alto ;2;30;1;1,3;30;332.000,00
Seropédica ;2;76,3;4,8;1,5976;15,9;735.750,00
Silva Jardim ;4;86;10;1,2465;8,6;39.000,00
Varre-Sai ;2;10,64;0,7;3;15,2;121.900,00
TOTAL GOIABA ;380;21.401,64;761,79;1,5138;28,09;107.200,00
CULTURA : GRAVIOLA;;;;;;31.920,00
Itaocara ;3;33;3;6,7273;11;32.397.170,00
TOTAL GRAVIOLA ;3;33;3;6,7273;11;
CULTURA : LARANJA;;;;;;222.000,00
Araruama ;155;25.012,50;1.871,00;1,4648;13,37;222.000,00
Bom Jesus do Itabapoana ;3;617,96;103;1,5306;6;
Cabo Frio ;8;52;7;2,575;7,43;36.638.075,00
Cachoeiras de Macacu ;7;374;24,5;1,7557;15,27;945.840,00
Carapebus ;3;37;5;1,2709;7,4;133.900,00
Casimiro de Abreu ;19;201,5;26;1,6846;7,75;656.650,00
Duas Barras ;42;359,6;37,8;1,1437;9,51;47.025,00
Iguaba Grande ;6;31,3;3,2;1,9687;9,78;339.450,00
Itaboraí ;60;3.208,90;269,5;1,3191;11,91;411.260,00
Japeri ;30;82;18;1,9354;4,56;61.620,00
Natividade ;22;504;42;1,5;12;4.232.830,00
Niterói ;4;33;3;1,8923;11;158.700,00
Porciúncula ;5;2.780,00;120;1,1306;23,17;756.000,00
Rio Bonito ;140;16.760,00;1.200,00;1,3126;13,97;62.447,00
Rio das Ostras ;1;20;2;1,55;10;3.143.000,00
São Gonçalo ;55;360;30;1,8296;12;21.999.500,00
São José de Ubá ;15;65,7;7,6;1,4307;8,64;31.000,00
São Pedro da Aldeia ;10;49;7;2,0929;7;658.650,00
Saquarema ;10;333;39,5;1,3036;8,43;94.000,00
Silva Jardim ;15;1.490,00;129;0,9866;11,55;102.550,00
Sumidouro ;27;235;16;1,1811;14,69;434.100,00
Tanguá ;250;19.125,00;1.330,00;1,3506;14,38;1.470.000,00
Varre-Sai ;2;36;12;1,6667;3;277.550,00
TOTAL LARANJA ;889;71.767,46;5.303,10;1,3731;13,53;25.830.200,00
CULTURA : LIMÃO;;;;;;60.000,00
Araruama ;45;6.401,00;300;1,4346;21,34;98.544.347,00
Armação dos Búzios ;3;35,2;2;2,8469;17,6;
Bom Jardim ;30;120;6;1,6833;20;9.182.800,00
Cabo Frio ;8;86,5;5;2,702;17,3;100.210,00
Cachoeiras de Macacu ;70;954;48;1,4287;19,88;202.000,00
Carapebus ;3;22,5;4;1,64;5,63;233.725,00
Carmo ;1;3,25;0,18;1,7192;18,06;1.363.000,00
Duas Barras ;12;112,1;7,7;2,6471;14,56;36.900,00
Duque de Caxias ;3;39,4;3,7;2,6431;10,65;5.587,50
Engenheiro Paulo de Frontin ;3;7;0,2;0,9571;35;296.740,00
Iguaba Grande ;6;40,6;3;3,5761;13,53;104.140,00
Itaboraí ;9;128,18;7,6;1,2567;16,87;6.700,00
Itaocara ;5;78;6;1,5783;13;145.190,00
Japeri ;11;22,5;7;2,1;3,21;161.085,00
Mangaratiba ;12;224;12;2,1107;18,67;123.110,00
Maricá ;2;83,02;4,61;0,8108;18,01;47.250,00
Petrópolis ;11;222,5;19,5;1,7955;11,41;472.800,00
Piraí ;4;47,3;2,12;1,9822;22,31;67.310,00
Porciúncula ;1;770;35;2,4714;22;399.500,00
Queimados ;6;8,63;0,87;2,8136;9,92;93.760,00
Rio Bonito ;95;11.200,00;560;1,9857;20;1.903.000,00
Rio das Ostras ;2;15;1,5;1,9333;10;24.281,50
São Gonçalo ;22;243,02;18;2,302;13,5;22.240.000,00
São Pedro da Aldeia ;10;105,6;6;2,7282;17,6;29.000,00
Saquarema ;39;496;42;1,7833;11,81;559.428,90
Silva Jardim ;10;1.015,00;60;1,0512;16,92;288.100,00
Tanguá ;22;1.544,00;62;1,2959;24,9;884.500,00
TOTAL LIMÃO ;445;24.024,30;1.223,98;1,7498;19,63;1.067.000,00
CULTURA : LIXIA;;;;;;2.000.900,00
Cachoeiras de Macacu ;3;3,6;0,6;10;6;42.038.017,90
Varre-Sai ;1;12;4;10;3;
TOTAL LIXIA ;4;15,6;4,6;10;3,39;36.000,00
CULTURA : MANGA;;;;;;120.000,00
Aperibé ;10;36;2;0,8;18;156.000,00
Campos dos Goytacases ;42;60;7;0,65;8,57;
Cardoso Moreira ;1;3;2;2;1,5;28.800,00
Itaboraí ;10;156;7,2;0,8;21,67;39.000,00
Itaocara ;55;1.000,00;50;0,702;20;6.000,00
Queimados ;13;31;2,6;1,9961;11,92;124.800,00
São Fidélis ;15;185,62;12,66;1,394;14,66;702.000,00
São Francisco de Itabapoana ;3;120;6;0,5;20;61.880,00
São Gonçalo ;35;880;40;1,5531;22;258.754,00
Seropédica ;9;171;8;0,8327;21,38;60.000,00
TOTAL MANGA ;193;2.642,62;137,46;1,0559;19,22;1.366.750,00
CULTURA : MARACUJÁ;;;;;;142.400,00
Aperibé ;3;40;2;4;20;2.790.384,00
Araruama ;3;29,5;6;4,0349;4,92;
Bom Jardim ;143;770;55;1,4009;14;160.000,00
Cachoeiras de Macacu ;50;659;56;1,9557;11,77;119.030,00
Campos dos Goytacases ;34;145;7;2,16;20,71;1.078.700,00
Carmo ;1;8,61;0,84;2,5749;10,25;1.288.800,00
Cordeiro ;1;92;3,15;3,1304;29,21;313.200,00
Duas Barras ;6;34;2,1;2,3762;16,19;22.169,90
Duque de Caxias ;4;27,7;13,8;2,9592;2,01;288.000,00
Guapimirim ;6;178;40,3;1,7486;4,42;80.790,00
Macuco ;6;59,3;3,5;3,6189;16,94;81.970,00
Miguel Pereira ;5;254,26;16,07;2,838;15,82;311.250,00
Paracambi ;2;0,4;1;5;0,4;214.600,00
Paraíba do Sul ;36;396,5;30,47;3,2197;13,01;721.590,60
Paty do Alferes ;41;634,44;38,3;2,7095;16,57;2.000,00
Quissamã ;2;18,45;1,99;2,8309;9,27;1.276.593,00
Rio Bonito ;6;135;5;1,8889;27;1.719.018,90
Rio de Janeiro ;36;320,9;27,54;1,9356;11,65;52.230,00
São Francisco de Itabapoana ;35;155;47;1,9226;3,3;255.000,00
São José do Vale do Rio Preto ;24;220;11;1,8364;20;621.150,00
São Pedro da Aldeia ;1;1,8;0,5;2;3,6;298.000,00
Sapucaia ;10;160;20;1,5;8;404.000,00
Seropédica ;4;82,3;5,8;2,4149;14,19;3.600,00
Silva Jardim ;5;90;9;1,5944;10;240.000,00
Trajano de Morais ;19;162,38;14,7;3,2072;11,05;198.750,00
Vassouras ;10;157,5;7,25;2,7492;21,72;143.500,00
TOTAL MARACUJÁ ;493;4.832,04;425,31;2,245;11,36;520.783,00
CULTURA : PESSEGO;;;;;;433.000,00
Duas Barras ;1;3;0,3;5,12;10;10.847.725,40
TOTAL PESSEGO ;1;3;0,3;5,12;10;
CULTURA : PINHA;;;;;;15.360,00
Bom Jesus do Itabapoana ;1;3;2;8,1333;1,5;15.360,00
TOTAL PINHA ;1;3;2;8,1333;1,5;
CULTURA : TANGERINA;;;;;;24.400,00
Araruama ;12;177;11,3;1,4395;15,66;24.400,00
Areal ;2;37,67;2;0,6084;18,84;
Cachoeiras de Macacu ;12;78;7;1,859;11,14;254.800,00
Porciúncula ;1;690;40;1,6598;17,25;22.920,00
Rio Bonito ;38;4.350,00;174;1,2822;25;145.000,00
Rio Claro ;2;17,12;1;1,8186;17,12;1.145.250,00
Tanguá ;12;423;8;1,34;52,88;5.577.500,00
TOTAL TANGERINA ;79;5.772,79;243,3;1,3414;23,73;31.134,00
CULTURA : TANGERINA PONCÃ;;;;;;566.800,00
Araruama ;24;2.769,00;131;1,4409;21,14;7.743.404,00
Bom Jardim ;34;237,5;9,5;2,2895;25;
Bom Jesus do Itabapoana ;1;45;2;0,6667;22,5;3.989.900,00
Cardoso Moreira ;1;16,65;3;1;5,55;543.750,00
Duas Barras ;60;751;56;1,0652;13,41;30.000,00
Itaboraí ;24;301,15;15,45;1,2908;19,49;16.650,00
Laje do Muriae ;2;19;1;1,4053;19;800.000,00
Macaé ;1;2;0,4;1,8;5;388.715,00
Petrópolis ;7;100;4;1,278;25;26.700,00
Porciúncula ;8;640;40;0,3555;16;3.600,00
Rio Bonito ;23;1.875,00;75;1,252;25;127.800,00
Rio Claro ;2;24,45;1,3;1,5685;18,81;227.500,00
Rio das Flores ;1;73;4;1,4925;18,25;2.347.500,00
São Gonçalo ;18;32,45;6,5;1,4344;4,99;38.350,00
São José do Vale do Rio Preto ;87;7.800,00;260;0,751;30;108.950,00
São Pedro da Aldeia ;10;70;6;2,0271;11,67;46.547,00
Sapucaia ;70;2.240,00;140;2,1143;16;5.857.500,00
Silva Jardim ;4;178;8;0,6562;22,25;141.900,00
Sumidouro ;110;2.284,00;108;1,6321;21,15;4.736.000,00
Teresópolis ;131;8.125,00;460;0,7429;17,66;116.800,00
Três Rios ;2;36,18;2;1,2;18,09;3.727.780,00
Varre-Sai ;4;100;14;1,47;7,14;6.036.000,00
TOTAL TANGERINA PONCÃ ;624;27.719,38;1.347,15;1,0643;20,58;43.416,00
CULTURA : UVA;;;;;;147.000,00
Bom Jesus do Itabapoana ;1;42,8;4;5,9783;10,7;29.502.358,00
Cambuci ;2;1,7;1;7,5;1,7;
Cardoso Moreira ;1;24,36;4,5;7,044;5,41;255.870,00
Paraíba do Sul ;1;1,6;1,8;9;0,89;12.750,00
Rio das Ostras ;1;3;0,6;10,75;5;171.593,00
São Fidélis ;2;11,2;0,8;10,4442;14;14.400,00
São José de Ubá ;4;30;4,5;6,4;6,67;32.250,00
São José do Vale do Rio Preto ;1;8;1,25;7;6,4;116.974,80
TOTAL UVA ;13;122,66;18,45;6,9447;6,65;192.000,00
TOTAL Fruticultura ;8.658;416.410,80;27.229,96;1,3353;15,29;56.000,00
GRUPO : Grãos;;;;;;851.837,80
CULTURA : ARROZ;;;;;;556.049.948,40
Cantagalo ;13;31;9;1,75;3,44;
Italva ;16;59;12,4;8,5072;4,76;
Itaperuna ;10;21;7;2,2;3;54.250,00
Macaé ;2;507,6;207;0,84;2,45;501.925,00
TOTAL ARROZ ;41;618,6;235,4;1,663;2,63;46.200,00
CULTURA : CAFÉ;;;;;;426.384,00
Bom Jardim ;124;1.608,00;1.090,00;6,3945;1,48;1.028.759,00
Bom Jesus do Itabapoana ;317;835;723;5,2066;1,15;
Campos dos Goytacases ;14;19;21;5;0,9;10.282.300,00
Duas Barras ;18;769;305;6,2389;2,52;4.347.500,00
Duque de Caxias ;3;8,15;4,5;6;1,81;95.000,00
Itaperuna ;6;11,6;10;5,9552;1,16;4.797.700,00
Natividade ;12;33,6;28;5,18;1,2;48.900,00
Porciúncula ;839;4.424,00;4.841,00;5,2992;0,91;69.080,00
São José do Vale do Rio Preto ;11;1.381,50;614;5,8813;2,25;174.048,00
Trajano de Morais ;6;69;35;4,1043;1,97;23.443.700,00
Varre-Sai ;1.200;4.690,00;5.000,00;5,1478;0,94;8.124.975,00
TOTAL CAFÉ ;2.550;13.848,85;12.671,50;5,4741;1,09;283.200,00
CULTURA : FEIJÃO;;;;;;24.143.000,00
Aperibé ;5;5;5;4;1;75.809.403,00
Araruama ;29;11,05;12,3;3,9896;0,9;
Bom Jardim ;186;117,6;98;2,2745;1,2;20.000,00
Bom Jesus do Itabapoana ;35;22,5;25;3,352;0,9;44.085,00
Cabo Frio ;7;5,8;6,8;7,0276;0,85;267.480,00
Cachoeiras de Macacu ;22;25,5;12,2;2,1275;2,09;75.420,00
Cantagalo ;4;3;3;4,5;1;40.760,00
Carmo ;15;11;10;3,41;1,1;54.250,00
Casimiro de Abreu ;25;32,4;33;5,1235;0,98;13.500,00
Duas Barras ;40;12,46;11,2;3,2856;1,11;37.510,00
Italva ;42;27,65;26;3,6462;1,06;166.000,00
Itaperuna ;20;13,2;15;3,3636;0,88;40.938,00
Macaé ;3;215;72,59;3,2223;2,96;100.818,00
Macuco ;5;5;3;3,4;1,67;44.400,00
Magé ;8;7,2;7;6;1,03;692.800,00
Natividade ;8;4,8;8;3;0,6;17.000,00
Nova Friburgo ;27;12,14;10,6;3,3696;1,15;43.200,00
Porciúncula ;121;131,5;145;3,3726;0,91;14.400,00
Porto Real ;9;4,1;5;3,5159;0,82;40.907,00
Quissamã ;25;74;56,5;2,2169;1,31;443.500,00
Rio Bonito ;9;7;7;1,7143;1;14.415,00
Rio Claro ;25;64,65;40;5,849;1,62;164.050,00
Rio das Flores ;33;23,5;19,75;3,5226;1,19;12.000,00
Rio das Ostras ;37;9,62;36,6;8,0603;0,26;378.140,00
Santa Maria Madalena ;19;21,52;21,36;5,5674;1,01;82.780,00
Santo Antônio de Pádua ;36;14,6;24;4,2425;0,61;77.540,00
São Fidélis ;15;9,5;14,85;2,4932;0,64;119.810,00
Sapucaia ;20;20;20;2;1;61.940,00
Trajano de Morais ;37;26;24;3,4308;1,08;23.685,80
Valença ;24;13,88;13,1;5,5628;1,06;40.000,00
Varre-Sai ;160;300;267;3,3333;1,12;89.200,00
TOTAL FEIJÃO ;1.051;1.251,17;1.052,85;3,435;1,19;77.211,00
CULTURA : MILHO;;;;;;1.000.000,00
Aperibé ;8;44;22;0,8;2;4.297.739,80
Araruama ;6;7,4;4;0,7338;1,85;
Bom Jardim ;99;264;88;0,5457;3;35.200,00
Bom Jesus do Itabapoana ;21;77;41,6;0,7109;1,85;5.430,00
Carapebus ;7;15,7;8;0,9809;1,96;144.060,00
Italva ;40;87;35;0,7067;2,49;54.740,00
Macaé ;2;3.825,10;520;0,8377;7,36;15.400,00
Porciúncula ;62;240;120;0,96;2;61.480,00
Quissamã ;22;98;55;0,7;1,78;3.204.320,00
Rio Claro ;14;81,44;35,5;0,8775;2,29;230.400,00
Santa Maria Madalena ;38;77,28;24,42;0,8235;3,16;68.600,00
Santo Antônio de Pádua ;78;165,6;72;0,9;2,3;71.461,00
Sapucaia ;30;144;60;1;2,4;63.642,50
Trajano de Morais ;30;30;10;0,95;3;149.040,00
Varre-Sai ;300;2.000,00;300;0,751;6,67;144.000,00
TOTAL MILHO ;757;7.156,52;1.395,52;0,8074;5,13;28.500,00
TOTAL Grãos ;4.399;22.875,14;15.355,27;3,7995;1,49;1.502.000,00
GRUPO : Olerícolas Folhas;;;;;;5.778.273,50
CULTURA : AGRIÃO;;;;;;86.914.175,30
Barra Mansas ;7;283,6;18,44;1,3447;15,38;
Petrópolis ;60;260;12,7;1,9577;20,47;
Rio Claro ;2;65,97;3,2;2,361;20,62;381.365,00
Rio de Janeiro ;31;403,21;12;1,5126;33,6;509.000,00
Sumidouro ;57;1.800,00;90;2,5449;20;155.755,00
Teresópolis ;70;1.658,50;66,6;2,3142;24,9;609.899,00
Volta Redonda ;17;139,4;7,9;2,7842;17,65;4.580.800,00
TOTAL AGRIÃO ;244;4.610,68;210,84;2,2693;21,87;3.838.100,00
CULTURA : ALFACE;;;;;;388.120,00
Armação dos Búzios ;6;6,9;0,67;1,8362;10,3;10.463.039,00
Barra do Pirai ;8;31,55;2,16;1,2477;14,61;
Barra Mansas ;33;1.402,90;89,08;1,2652;15,75;12.670,00
Bom Jesus do Itabapoana ;7;67,7;3,4;0,8665;19,91;39.365,00
Cabo Frio ;1;19,2;11,8;3;1,63;1.775.002,50
Campos dos Goytacases ;37;109;7;1,6289;15,57;58.660,00
Conceição de Macabu ;3;7,5;0,8;2,02;9,38;57.600,00
Duas Barras ;13;49,9;2,5;1,3545;19,96;177.550,00
Duque de Caxias ;2;1,65;0,12;1,567;13,75;15.150,00
Engenheiro Paulo de Frontin ;9;63,5;2,6;2,863;24,42;67.590,00
Italva ;13;3,65;0,65;2,2799;5,62;2.585,50
Macaé ;12;26,4;4,57;3,2197;5,78;181.800,00
Mendes ;8;28,6;1,81;1,279;15,8;8.321,50
Nova Friburgo ;90;2.499,60;118,5;1,8393;21,09;85.000,00
Paraty ;4;57,5;4;7,4127;14,38;36.578,50
Petrópolis ;138;1.015,00;52,5;1,4241;19,33;4.597.470,00
Pinheiral ;8;55,56;3,89;2,0597;14,28;426.230,00
Piraí ;10;28,05;2,28;1,6314;12,3;1.445.450,00
Queimados ;3;10,99;0,73;1,0229;15,05;114.437,50
Resende ;4;173,55;12,65;2,122;13,72;45.760,00
Rio Claro ;5;152,21;8,5;2,1369;17,91;11.242,20
Rio das Ostras ;1;8,2;0,55;1,67;14,91;368.269,00
Rio de Janeiro ;35;608;34,6;1,0109;17,57;325.256,50
São Gonçalo ;8;78;6;1,8483;13;13.694,00
São José do Vale do Rio Preto ;94;800;32;1,1755;25;614.640,00
Sapucaia ;35;735;35;0,39;21;144.170,00
Seropédica ;27;365;14;2,866;26,07;940.375,00
Sumidouro ;314;8.932,00;406;1,4105;22;286.650,00
Teresópolis ;1.427;93.820,00;3.605,00;1,2234;26,02;1.046.100,00
Três Rios ;1;50,55;3,18;1,9692;15,9;12.598.740,00
Valença ;23;228,34;23,47;5,4112;9,73;114.781.900,00
Varre-Sai ;1;282;12,3;1,5631;22,93;99.542,20
Vassouras ;13;120;4,35;3,03;27,59;1.235.596,00
Volta Redonda ;23;286,7;15,8;3,1233;18,15;440.800,00
TOTAL ALFACE ;2.416;112.124,70;4.522,46;1,2782;24,79;363.600,00
CULTURA : ALFACE - CULT. PROT;;;;;;895.440,00
Macaé ;1;0,05;0,02;8;2,5;143.313.235,40
São Gonçalo ;1;43,2;4,32;2,175;10;
Teresópolis ;154;4.909,70;86,9;1,4598;56,5;400
TOTAL ALFACE - CULT. PROTG ;156;4.952,95;91,24;1,4661;54,28;93.960,00
CULTURA : ALHO PORRÓ;;;;;;7.166.950,00
Teresópolis ;88;646,7;25;2,2871;25,87;7.261.310,00
TOTAL ALHO PORRÓ ;88;646,7;25;2,2871;25,87;
CULTURA : BERTALHA;;;;;;1.479.056,00
Seropédica ;42;821;29,2;2,1478;28,12;1.479.056,00
Sumidouro ;10;425;21,25;2,3567;20;
TOTAL BERTALHA ;52;1.246,00;50,45;2,2191;24,7;1.763.340,00
CULTURA : BROCOLOS;;;;;;1.001.600,00
Barra Mansas ;16;421,6;30,87;2,8166;13,66;2.764.940,00
Duas Barras ;5;61,2;3,05;1,5592;20,07;
Nova Friburgo ;555;11.837,60;666,9;2,6444;17,75;1.187.485,00
Petrópolis ;144;610;23,7;1,8648;25,74;95.420,00
Resende ;1;59,42;3,25;1,9769;18,28;31.302.970,00
Rio Claro ;2;47,3;3;2,8527;15,77;1.137.500,00
Rio das Ostras ;1;2,2;0,25;1,25;8,8;117.466,00
Sumidouro ;186;2.354,00;107;1,7264;22;134.931,50
Teresópolis ;460;10.244,20;453,3;1,2288;22,6;2.750,00
Três Rios ;1;6,02;0,5;2,8687;12,04;4.063.840,00
Volta Redonda ;10;124;6,7;3,4806;18,51;12.588.540,00
TOTAL BROCOLOS ;1.381;25.767,54;1.298,52;1,9823;19,84;17.269,60
CULTURA : CEBOLINHA;;;;;;431.600,00
Barra Mansas ;18;639,55;55,39;1,7003;11,55;51.079.772,10
Macaé ;12;8,8;0,82;8,5341;10,73;
Paraty ;3;108,9;8;15,1272;13,61;1.087.402,00
Petrópolis ;53;54;3,5;1,7231;15,43;75.100,00
Queimados ;2;2,63;0,22;1,0049;11,95;1.647.350,00
Resende ;4;24,85;3,3;2,1354;7,53;93.045,00
Rio Claro ;3;79,3;7,5;1,6693;10,57;2.642,80
Rio de Janeiro ;47;617,44;26,32;1,6417;23,46;53.064,50
Seropédica ;27;465;16,4;3,051;28,35;132.378,50
Sumidouro ;48;427,5;29,5;3,674;14,49;1.013.681,00
Teresópolis ;340;5.359,00;334,3;2,2832;16,03;1.418.700,00
Varre-Sai ;1;30;10,5;7,06;2,86;1.570.650,00
Volta Redonda ;20;135;9,1;4,5519;14,84;12.235.810,00
TOTAL CEBOLINHA ;578;7.951,97;504,85;2,5347;15,75;211.800,00
CULTURA : CHICÓRIA;;;;;;614.500,00
Barra Mansas ;13;431,85;18,39;1,2574;23,48;20.156.123,80
Resende ;4;91,98;3,95;2,077;23,29;
Rio Claro ;2;87,91;3,8;1,422;23,13;543.005,00
Rio de Janeiro ;31;565,99;16,73;1,0034;33,83;191.039,00
Teresópolis ;483;5.598,20;189,9;0,9642;29,48;125.011,50
Volta Redonda ;13;138,6;7,7;3,0036;18;567.901,80
TOTAL CHICÓRIA ;546;6.914,53;240,47;1,0472;28,75;5.397.944,00
CULTURA : COENTRO;;;;;;416.300,00
Armação dos Búzios ;6;4,9;1,5;2,399;3,27;7.241.201,30
Nova Friburgo ;9;29,2;1,8;4;16,22;
Queimados ;2;2,24;0,17;1,0271;13,18;11.755,00
Sumidouro ;203;2.052,00;114;5,2914;18;116.800,00
Teresópolis ;305;1.421,70;90,7;3,4958;15,67;2.300,80
Volta Redonda ;15;30,9;2,75;4,6411;11,24;10.857.960,00
TOTAL COENTRO ;540;3.540,94;210,92;4,5474;16,79;4.969.930,00
CULTURA : COUVE;;;;;;143.410,00
Barra do Pirai ;7;33,65;0,87;5,8608;38,68;16.102.155,80
Barra Mansas ;19;960,46;30,83;1,2518;31,15;
Bom Jesus do Itabapoana ;6;35,1;2,2;2,9702;15,95;197.215,00
Conceição de Macabu ;5;20;1,5;2;13,33;1.202.346,50
Duas Barras ;24;69;2,35;4,5156;29,36;104.255,00
Duque de Caxias ;3;7,9;0,31;1,3696;25,48;40.000,00
Engenheiro Paulo de Frontin ;9;29,5;1,7;3,0644;17,35;311.575,00
Macaé ;12;3;0,75;9,3333;4;10.820,00
Mendes ;6;38,1;0,99;5,5493;38,48;90.400,00
Miracema ;2;36,03;1,03;6,8538;34,98;28.000,00
Paraty ;3;153,7;5;7,0606;30,74;211.427,50
Petrópolis ;98;733;24;2,8172;30,54;246.941,00
Pinheiral ;8;44;1,45;8,342;30,34;1.085.220,00
Piraí ;3;46,25;1,61;7,1276;28,73;2.065.000,00
Queimados ;4;9,41;0,9;1,0185;10,46;367.050,00
Resende ;4;176,15;6,7;2,0329;26,29;329.650,00
Rio Claro ;3;659,08;18,4;6,3104;35,82;9.583,80
Rio das Ostras ;2;5,91;0,45;1,1925;13,13;358.095,00
Rio de Janeiro ;65;1.413,00;51,9;2,1187;27,23;4.159.065,00
São João da Barra ;13;54;1,2;1,8667;45;7.047,50
Seropédica ;36;569;19;3,6531;29,95;2.993.700,00
Sumidouro ;283;9.746,00;193;4,7325;50,5;100.800,00
Teresópolis ;510;20.970,00;349,5;1,5884;60;2.078.600,00
Valença ;29;1.154,45;27,74;4,9441;41,62;46.123.100,00
Varre-Sai ;2;90;5,7;2,0872;15,79;33.309.000,00
Vassouras ;12;73,5;3,35;2,6789;21,94;5.707.710,50
Volta Redonda ;20;354,5;11,5;2,7566;30,83;187.850,00
TOTAL COUVE ;1.188;37.484,69;763,93;2,7344;49,07;196.900,00
CULTURA : COUVE FLOR;;;;;;977.200,00
Barra do Pirai ;1;16,8;0,73;3,3243;23,01;102.498.551,80
Barra Mansas ;1;33,78;1,47;2,0666;22,98;
Bom Jardim ;215;2.575,00;103;1,076;25;55.847,50
Duas Barras ;7;200,8;9,3;1,1789;21,59;69.809,00
Nova Friburgo ;727;18.853,00;541,75;1,6501;34,8;2.770.750,00
Petrópolis ;32;199;10;2,998;19,9;236.730,00
Rio Claro ;1;87,67;3,5;2,5032;25,05;31.109.900,00
São José do Vale do Rio Preto ;375;3.800,00;190;1,0946;20;596.600,00
Sapucaia ;36;1.260,00;36;0,7972;35;219.455,00
Sumidouro ;124;3.207,54;111;0,9399;28,9;4.159.400,00
Teresópolis ;65;1.249,00;35,62;1,1905;35,06;1.004.500,00
Trajano de Morais ;68;917;41,4;1,5599;22,15;3.014.910,10
Valença ;11;157,77;4,76;5,1451;33,14;1.486.900,00
TOTAL COUVE FLOR ;1.663;32.557,36;1.088,53;1,4426;29,91;1.430.414,00
CULTURA : ESPINAFRE;;;;;;811.735,00
Barra Mansas ;5;55,5;2,39;1,2713;23,22;46.966.950,60
Petrópolis ;60;358;11,2;2,4672;31,96;
São Pedro da Aldeia ;1;1,5;0,5;8,3;3;70.556,50
Teresópolis ;300;8.223,00;236,7;1,2198;34,74;883.240,00
TOTAL ESPINAFRE ;366;8.638,00;250,79;1,273;34,44;12.450,00
