RELATÓRIO POR CULTURAS DO SISTEMA ASPA/AGROGEO-ANO2019;;;;;;
ESTADO DO RIO DE JANEIRO;;;;;;
;;;;;;
CULTURAS/MUNICIPIOS;Nº  PRODUTORES;PRODUÇÃO COLHIDA (t);ÁREA COLHIDA (ha);PREÇO   (R$/KG);PRODUTIVIDADE    (t/ha);
GRUPO : Fruticultura;;;;;;
CULTURA : ABACATE;;;;;;FATURAMENTO BRUTO(R$)
AIPIM ;4.285;138.009,61;10.290,99;1,0128;13,41;143.313.235,40
COUVE ;1.188;37.484,69;763,93;2,7344;49,07;141.178.440,00
LARANJA ;889;71.767,46;5.303,10;1,3731;13,53;139.777.477,00
CAFÉ ;2.550;13.848,85;12.671,50;5,4743;1,09;102.498.551,80
BANANA PRATA ;1.633;44.995,33;5.835,11;1,5072;7,71;98.544.347,00
CHUCHU ;1.392;97.877,11;1.408,87;0,5445;69,47;75.809.403,00
BROCOLOS ;1.381;25.767,54;1.298,52;1,9823;19,84;67.817.096,70
COUVE FLOR ;1.663;32.557,36;1.088,53;1,4426;29,91;53.297.088,50
QUIABO ;2.168;19.677,05;1.678,78;2,1666;11,72;51.079.772,10
LIMÃO ;445;24.024,30;1.223,98;1,7498;19,63;46.966.950,60
COCO VERDE ;668;41.176,76;2.214,71;0,9133;18,59;42.632.533,40
BANANA NANICA ;1.044;27.166,48;2.329,85;1,3163;11,66;42.038.017,90
JILÓ ;1.756;24.041,73;1.164,22;1,4644;20,65;37.604.805,30
PIMENTÃO ;1.737;24.278,90;1.101,79;1,4071;22,04;35.758.491,60
PALMITO ;301;2.118,45;508,9;15,9722;4,16;35.206.340,10
GOIABA ;380;21.401,64;761,79;1,5138;28,09;34.163.750,20
TANGERINA PONCÃ ;624;27.719,38;1.347,15;1,0643;20,58;33.836.210,00
BANANA ;1.035;14.480,30;2.143,67;1,8856;6,75;32.397.170,00
REPOLHO ;1.102;29.384,94;676,07;0,7715;43,46;29.502.358,00
CAQUI ;319;13.975,10;588,6;1,4937;23,74;27.304.348,80
CEBOLINHA ;578;7.951,97;504,85;2,5347;15,75;22.671.102,30
PEPINO ;1.027;30.366,87;681,93;0,6571;44,53;20.874.800,00
BERINJELA ;1.135;18.688,64;693,42;1,0476;26,95;20.156.123,80
SALSA ;502;8.114,60;261,86;2,3916;30,99;19.953.215,40
VAGEM ;1.152;11.530,50;642,2;1,6524;17,95;19.578.651,80
INHAME ;678;11.322,92;626,2;1,5649;18,08;19.406.509,00
ABOBORA ;520;11.839,14;747,14;1,4762;15,85;19.052.888,40
COENTRO ;540;3.540,94;210,92;4,5474;16,79;17.718.839,00
MILHO VERDE ;845;16.072,32;1.640,14;0,9394;9,8;17.477.369,50
CANA FORRAGEIRA ;2.029;117.955,26;2.041,44;0,1189;57,78;16.102.155,80
ABOBRINHA ;1.174;11.796,39;741,03;0,9424;15,92;15.098.990,10
ESPINAFRE ;366;8.638,00;250,79;1,273;34,44;14.025.687,80
MARACUJÁ ;493;4.832,04;425,31;2,245;11,36;11.117.473,30
MORANGO ;53;954,84;35,94;11,1742;26,57;10.996.346,50
AGRIÃO ;244;4.610,68;210,84;2,2693;21,87;10.847.725,40
MILHO FORRAGEIRO ;314;40.193,92;1.079,94;0,2546;37,22;10.669.530,00
BATATA DOCE ;786;8.524,28;678,6;1,1884;12,56;10.463.039,00
MANDIOCA ;652;75.789,92;3.931,85;0,1308;19,28;10.234.282,00
ERVILHA ;365;1.613,46;180;5,6046;8,96;10.130.646,20
CANA CALDO ;239;11.332,45;355,18;0,7733;31,91;9.916.613,50
TANGERINA ;79;5.772,79;243,3;1,3414;23,73;9.042.760,00
ALFACE - CULT. PROTG ;156;4.952,95;91,24;1,4661;54,28;8.763.290,00
CHICÓRIA ;546;6.914,53;240,47;1,0472;28,75;7.743.404,00
RÚCULA - CULT. PROTG ;51;1.497,03;36,71;4,5104;40,78;7.261.310,00
MILHO ;757;7.156,52;1.395,52;0,8074;5,13;7.241.201,30
CANA CACHAÇA ;50;12.242,30;211,57;0,378;57,86;6.752.225,00
TOMATE CEREJA ;74;1.143,05;12,28;3,9173;93,08;5.778.273,50
