RELATÓRIO POR CULTURAS DO SISTEMA ASPA/AGROGEO-ANO2019;;;;;;
ESTADO DO RIO DE JANEIRO;;;;;;
;;;;;;
CULTURAS/MUNICIPIOS;Nº  PRODUTORES;PRODUÇÃO COLHIDA (t);ÁREA COLHIDA (ha);PREÇO   (R$/KG);PRODUTIVIDADE    (t/ha);FATURAMENTO BRUTO(R$)
GRUPO : Fruticultura;;;;;;
CULTURA : ABACATE;;;;;;
São Fidélis ;15;9,5;14,85;2,4932;0,64;23.685,80
Sapucaia ;20;20;20;2;1;40.000,00
Trajano de Morais ;37;26;24;3,4308;1,08;89.200,00
Valença ;24;13,88;13,1;5,5628;1,06;77.211,00
Varre-Sai ;160;300;267;3,3333;1,12;1.000.000,00
TOTAL FEIJÃO ;1.051;1.251,17;1.052,85;3,435;1,19;4.297.739,80
CULTURA : MILHO;;;;;;
Aperibé ;8;44;22;0,8;2;35.200,00
Araruama ;6;7,4;4;0,7338;1,85;5.430,00
Bom Jardim ;99;264;88;0,5457;3;144.060,00
Bom Jesus do Itabapoana ;21;77;41,6;0,7109;1,85;54.740,00
Carapebus ;7;15,7;8;0,9809;1,96;15.400,00
Italva ;40;87;35;0,7067;2,49;61.480,00
Macaé ;2;3.825,10;520;0,8377;7,36;3.204.320,00
Porciúncula ;62;240;120;0,96;2;230.400,00
Quissamã ;22;98;55;0,7;1,78;68.600,00
Rio Claro ;14;81,44;35,5;0,8775;2,29;71.461,00
Santa Maria Madalena ;38;77,28;24,42;0,8235;3,16;63.642,50
Santo Antônio de Pádua ;78;165,6;72;0,9;2,3;149.040,00
Sapucaia ;30;144;60;1;2,4;144.000,00
Trajano de Morais ;30;30;10;0,95;3;28.500,00
Varre-Sai ;300;2.000,00;300;0,751;6,67;1.502.000,00
TOTAL MILHO ;757;7.156,52;1.395,52;0,8074;5,13;5.778.273,50
TOTAL Grãos ;4.399;22.875,14;15.355,27;3,7995;1,49;86.914.175,30
GRUPO : Olerícolas Folhas;;;;;;
CULTURA : AGRIÃO;;;;;;
Barra Mansas ;7;283,6;18,44;1,3447;15,38;381.365,00
Petrópolis ;60;260;12,7;1,9577;20,47;509.000,00
Rio Claro ;2;65,97;3,2;2,361;20,62;155.755,00
Rio de Janeiro ;31;403,21;12;1,5126;33,6;609.899,00
Sumidouro ;57;1.800,00;90;2,5449;20;4.580.800,00
Teresópolis ;70;1.658,50;66,6;2,3142;24,9;3.838.100,00
Volta Redonda ;17;139,4;7,9;2,7842;17,65;388.120,00
TOTAL AGRIÃO ;244;4.610,68;210,84;2,2693;21,87;10.463.039,00
CULTURA : ALFACE;;;;;;
Armação dos Búzios ;6;6,9;0,67;1,8362;10,3;12.670,00
Barra do Pirai ;8;31,55;2,16;1,2477;14,61;39.365,00
Barra Mansas ;33;1.402,90;89,08;1,2652;15,75;1.775.002,50
Bom Jesus do Itabapoana ;7;67,7;3,4;0,8665;19,91;58.660,00
Cabo Frio ;1;19,2;11,8;3;1,63;57.600,00
Campos dos Goytacases ;37;109;7;1,6289;15,57;177.550,00
Conceição de Macabu ;3;7,5;0,8;2,02;9,38;15.150,00
Duas Barras ;13;49,9;2,5;1,3545;19,96;67.590,00
Duque de Caxias ;2;1,65;0,12;1,567;13,75;2.585,50
Engenheiro Paulo de Frontin ;9;63,5;2,6;2,863;24,42;181.800,00
Italva ;13;3,65;0,65;2,2799;5,62;8.321,50
Macaé ;12;26,4;4,57;3,2197;5,78;85.000,00
Mendes ;8;28,6;1,81;1,279;15,8;36.578,50
Nova Friburgo ;90;2.499,60;118,5;1,8393;21,09;4.597.470,00
Paraty ;4;57,5;4;7,4127;14,38;426.230,00
Petrópolis ;138;1.015,00;52,5;1,4241;19,33;1.445.450,00
Pinheiral ;8;55,56;3,89;2,0597;14,28;114.437,50
Piraí ;10;28,05;2,28;1,6314;12,3;45.760,00
Queimados ;3;10,99;0,73;1,0229;15,05;11.242,20
Resende ;4;173,55;12,65;2,122;13,72;368.269,00
Rio Claro ;5;152,21;8,5;2,1369;17,91;325.256,50
Rio das Ostras ;1;8,2;0,55;1,67;14,91;13.694,00
Rio de Janeiro ;35;608;34,6;1,0109;17,57;614.640,00
São Gonçalo ;8;78;6;1,8483;13;144.170,00
São José do Vale do Rio Preto ;94;800;32;1,1755;25;940.375,00
Sapucaia ;35;735;35;0,39;21;286.650,00
Seropédica ;27;365;14;2,866;26,07;1.046.100,00
Sumidouro ;314;8.932,00;406;1,4105;22;12.598.740,00
Teresópolis ;1.427;93.820,00;3.605,00;1,2234;26,02;114.781.900,00
Três Rios ;1;50,55;3,18;1,9692;15,9;99.542,20
Valença ;23;228,34;23,47;5,4112;9,73;1.235.596,00
Varre-Sai ;1;282;12,3;1,5631;22,93;440.800,00
Vassouras ;13;120;4,35;3,03;27,59;363.600,00
Volta Redonda ;23;286,7;15,8;3,1233;18,15;895.440,00
TOTAL ALFACE ;2.416;112.124,70;4.522,46;1,2782;24,79;143.313.235,40
CULTURA : ALFACE - CULT. PROT;;;;;;
Macaé ;1;0,05;0,02;8;2,5;400
São Gonçalo ;1;43,2;4,32;2,175;10;93.960,00
Teresópolis ;154;4.909,70;86,9;1,4598;56,5;7.166.950,00
TOTAL ALFACE - CULT. PROTG ;156;4.952,95;91,24;1,4661;54,28;7.261.310,00
CULTURA : ALHO PORRÓ;;;;;;
Teresópolis ;88;646,7;25;2,2871;25,87;1.479.056,00
TOTAL ALHO PORRÓ ;88;646,7;25;2,2871;25,87;1.479.056,00
CULTURA : BERTALHA;;;;;;
Seropédica ;42;821;29,2;2,1478;28,12;1.763.340,00
Sumidouro ;10;425;21,25;2,3567;20;1.001.600,00
TOTAL BERTALHA ;52;1.246,00;50,45;2,2191;24,7;2.764.940,00
CULTURA : BROCOLOS;;;;;;
Barra Mansas ;16;421,6;30,87;2,8166;13,66;1.187.485,00
Duas Barras ;5;61,2;3,05;1,5592;20,07;95.420,00
Nova Friburgo ;555;11.837,60;666,9;2,6444;17,75;31.302.970,00
Petrópolis ;144;610;23,7;1,8648;25,74;1.137.500,00
Resende ;1;59,42;3,25;1,9769;18,28;117.466,00
Rio Claro ;2;47,3;3;2,8527;15,77;134.931,50
Rio das Ostras ;1;2,2;0,25;1,25;8,8;2.750,00
Sumidouro ;186;2.354,00;107;1,7264;22;4.063.840,00
Teresópolis ;460;10.244,20;453,3;1,2288;22,6;12.588.540,00
Três Rios ;1;6,02;0,5;2,8687;12,04;17.269,60
Volta Redonda ;10;124;6,7;3,4806;18,51;431.600,00
TOTAL BROCOLOS ;1.381;25.767,54;1.298,52;1,9823;19,84;51.079.772,10
CULTURA : CEBOLINHA;;;;;;
Barra Mansas ;18;639,55;55,39;1,7003;11,55;1.087.402,00
Macaé ;12;8,8;0,82;8,5341;10,73;75.100,00
Paraty ;3;108,9;8;15,1272;13,61;1.647.350,00
Petrópolis ;53;54;3,5;1,7231;15,43;93.045,00
Queimados ;2;2,63;0,22;1,0049;11,95;2.642,80
Resende ;4;24,85;3,3;2,1354;7,53;53.064,50
Rio Claro ;3;79,3;7,5;1,6693;10,57;132.378,50
Rio de Janeiro ;47;617,44;26,32;1,6417;23,46;1.013.681,00
Seropédica ;27;465;16,4;3,051;28,35;1.418.700,00
Sumidouro ;48;427,5;29,5;3,674;14,49;1.570.650,00
Teresópolis ;340;5.359,00;334,3;2,2832;16,03;12.235.810,00
Varre-Sai ;1;30;10,5;7,06;2,86;211.800,00
Volta Redonda ;20;135;9,1;4,5519;14,84;614.500,00
TOTAL CEBOLINHA ;578;7.951,97;504,85;2,5347;15,75;20.156.123,80
CULTURA : CHICÓRIA;;;;;;
Barra Mansas ;13;431,85;18,39;1,2574;23,48;543.005,00
Resende ;4;91,98;3,95;2,077;23,29;191.039,00
Rio Claro ;2;87,91;3,8;1,422;23,13;125.011,50
Rio de Janeiro ;31;565,99;16,73;1,0034;33,83;567.901,80
Teresópolis ;483;5.598,20;189,9;0,9642;29,48;5.397.944,00
Volta Redonda ;13;138,6;7,7;3,0036;18;416.300,00
TOTAL CHICÓRIA ;546;6.914,53;240,47;1,0472;28,75;7.241.201,30
CULTURA : COENTRO;;;;;;
Armação dos Búzios ;6;4,9;1,5;2,399;3,27;11.755,00
Nova Friburgo ;9;29,2;1,8;4;16,22;116.800,00
Queimados ;2;2,24;0,17;1,0271;13,18;2.300,80
Sumidouro ;203;2.052,00;114;5,2914;18;10.857.960,00
Teresópolis ;305;1.421,70;90,7;3,4958;15,67;4.969.930,00
Volta Redonda ;15;30,9;2,75;4,6411;11,24;143.410,00
TOTAL COENTRO ;540;3.540,94;210,92;4,5474;16,79;16.102.155,80
CULTURA : COUVE;;;;;;
Barra do Pirai ;7;33,65;0,87;5,8608;38,68;197.215,00
Barra Mansas ;19;960,46;30,83;1,2518;31,15;1.202.346,50
Bom Jesus do Itabapoana ;6;35,1;2,2;2,9702;15,95;104.255,00
Conceição de Macabu ;5;20;1,5;2;13,33;40.000,00
Duas Barras ;24;69;2,35;4,5156;29,36;311.575,00
Duque de Caxias ;3;7,9;0,31;1,3696;25,48;10.820,00
Engenheiro Paulo de Frontin ;9;29,5;1,7;3,0644;17,35;90.400,00
Macaé ;12;3;0,75;9,3333;4;28.000,00
Mendes ;6;38,1;0,99;5,5493;38,48;211.427,50
Miracema ;2;36,03;1,03;6,8538;34,98;246.941,00
Paraty ;3;153,7;5;7,0606;30,74;1.085.220,00
Petrópolis ;98;733;24;2,8172;30,54;2.065.000,00
Pinheiral ;8;44;1,45;8,342;30,34;367.050,00
Piraí ;3;46,25;1,61;7,1276;28,73;329.650,00
Queimados ;4;9,41;0,9;1,0185;10,46;9.583,80
Resende ;4;176,15;6,7;2,0329;26,29;358.095,00
Rio Claro ;3;659,08;18,4;6,3104;35,82;4.159.065,00
Rio das Ostras ;2;5,91;0,45;1,1925;13,13;7.047,50
Rio de Janeiro ;65;1.413,00;51,9;2,1187;27,23;2.993.700,00
São João da Barra ;13;54;1,2;1,8667;45;100.800,00
Seropédica ;36;569;19;3,6531;29,95;2.078.600,00
Sumidouro ;283;9.746,00;193;4,7325;50,5;46.123.100,00
Teresópolis ;510;20.970,00;349,5;1,5884;60;33.309.000,00
Valença ;29;1.154,45;27,74;4,9441;41,62;5.707.710,50
Varre-Sai ;2;90;5,7;2,0872;15,79;187.850,00
Vassouras ;12;73,5;3,35;2,6789;21,94;196.900,00
Volta Redonda ;20;354,5;11,5;2,7566;30,83;977.200,00
TOTAL COUVE ;1.188;37.484,69;763,93;2,7344;49,07;102.498.551,80
CULTURA : COUVE FLOR;;;;;;
Barra do Pirai ;1;16,8;0,73;3,3243;23,01;55.847,50
Barra Mansas ;1;33,78;1,47;2,0666;22,98;69.809,00
Bom Jardim ;215;2.575,00;103;1,076;25;2.770.750,00
Duas Barras ;7;200,8;9,3;1,1789;21,59;236.730,00
Nova Friburgo ;727;18.853,00;541,75;1,6501;34,8;31.109.900,00
Petrópolis ;32;199;10;2,998;19,9;596.600,00
Rio Claro ;1;87,67;3,5;2,5032;25,05;219.455,00
São José do Vale do Rio Preto ;375;3.800,00;190;1,0946;20;4.159.400,00
Sapucaia ;36;1.260,00;36;0,7972;35;1.004.500,00
Sumidouro ;124;3.207,54;111;0,9399;28,9;3.014.910,10
Teresópolis ;65;1.249,00;35,62;1,1905;35,06;1.486.900,00
Trajano de Morais ;68;917;41,4;1,5599;22,15;1.430.414,00
Valença ;11;157,77;4,76;5,1451;33,14;811.735,00
TOTAL COUVE FLOR ;1.663;32.557,36;1.088,53;1,4426;29,91;46.966.950,60
CULTURA : ESPINAFRE;;;;;;
Barra Mansas ;5;55,5;2,39;1,2713;23,22;70.556,50
Petrópolis ;60;358;11,2;2,4672;31,96;883.240,00
São Pedro da Aldeia ;1;1,5;0,5;8,3;3;12.450,00
Teresópolis ;300;8.223,00;236,7;1,2198;34,74;10.030.100,00
TOTAL ESPINAFRE ;366;8.638,00;250,79;1,273;34,44;10.996.346,50
CULTURA : REPOLHO;;;;;;
Barra Mansas ;3;102,2;3,52;1,4891;29,03;152.184,50
Bom Jardim ;221;5.568,00;116;0,9882;48;5.502.240,00
Cordeiro ;3;100;2,5;1,07;40;107.000,00
Duas Barras ;66;2.515,00;60,3;0,732;41,71;1.840.900,00
Nova Friburgo ;86;2.255,77;53,5;0,711;42,16;1.603.854,00
Paty do Alferes ;99;1.480,79;38;0,7741;38,97;1.146.305,80
Petrópolis ;29;231;7,2;0,8919;32,08;206.040,00
Rio Claro ;1;88,6;3,4;2,3043;26,06;204.165,00
São José do Vale do Rio Preto ;59;1.110,00;18,5;0,773;60;858.000,00
Sapucaia ;41;2.378,00;41;1,0207;58;2.427.300,00
Seropédica ;2;54;1;0,8889;54;48.000,00
Sumidouro ;332;8.906,00;221;0,5441;40,3;4.845.870,00
Teresópolis ;80;2.183,50;46,9;0,6994;46,56;1.527.230,00
Trajano de Morais ;68;2.106,08;56,65;0,837;37,18;1.762.713,00
Vassouras ;12;306;6,6;1,4356;46,36;439.300,00
TOTAL REPOLHO ;1.102;29.384,94;676,07;0,7715;43,46;22.671.102,30
CULTURA : RÚCULA;;;;;;
Armação dos Búzios ;11;12,81;2,57;3,2011;4,98;41.006,00
Barra Mansas ;2;32,16;2,71;1,2977;11,87;41.733,50
Teresópolis ;56;283;24,1;3,4982;11,74;990.000,00
Volta Redonda ;15;39,3;4,9;4,4193;8,02;173.680,00
TOTAL RÚCULA ;84;367,27;34,28;3,3937;10,71;1.246.419,50
CULTURA : RÚCULA - CULT. PRO;;;;;;
Macaé ;1;0,03;0,01;7,5;3;225
Teresópolis ;50;1.497,00;36,7;4,5104;40,79;6.752.000,00
TOTAL RÚCULA - CULT. PROTG ;51;1.497,03;36,71;4,5104;40,78;6.752.225,00
CULTURA : SALSA;;;;;;
Barra Mansas ;18;515,05;21,78;1,6942;23,65;872.615,00
Macaé ;12;1,5;0,27;8,8;5,56;13.200,00
Nova Friburgo ;79;1.166,40;31,58;3,0596;36,93;3.568.660,00
Paraty ;3;145,2;8;8,043;18,15;1.167.850,00
Petrópolis ;63;647;22,8;1,7424;28,38;1.127.330,00
Queimados ;3;2,14;0,21;1,2664;10,19;2.710,00
Resende ;3;56,25;2,55;1,2704;22,06;71.460,00
Rio Claro ;3;158,26;7,85;3,2096;20,16;507.949,00
Rio das Ostras ;1;0,7;0,03;2,7;23,33;1.890,00
Rio de Janeiro ;44;891,6;27,39;1,7623;32,55;1.571.295,00
Seropédica ;31;508;19,4;3,2224;26,19;1.637.000,00
Sumidouro ;132;2.380,00;68;2,3672;35;5.633.950,00
Teresópolis ;100;1.507,50;42,9;1,7288;35,14;2.606.100,00
Volta Redonda ;10;135;9,1;4,6259;14,84;624.500,00
TOTAL SALSA ;502;8.114,60;261,86;2,3916;30,99;19.406.509,00
TOTAL Olerícolas Folhas ;10.957;285.799,90;10.266,92;1,6459;27,84;470.398.938,10
GRUPO : Olerícolas Frutos;;;;;;
CULTURA : ABOBORA;;;;;;
Aperibé ;2;12;1;1,65;12;19.800,00
Araruama ;24;342;22,5;1,0395;15,2;355.500,00
Armação dos Búzios ;12;29,2;2,6;1,8074;11,23;52.775,00
Bom Jesus do Itabapoana ;3;294;28;1,7218;10,5;506.200,00
Cabo Frio ;17;77;7,6;1,8857;10,13;145.200,00
Cachoeiras de Macacu ;40;196;20,3;1,4393;9,66;282.100,00
Campos dos Goytacases ;19;131;12;0,8592;10,92;112.550,00
Cantagalo ;1;13;1;1;13;13.000,00
Carapebus ;5;32;5;1,1227;6,4;35.925,00
Carmo ;4;37,5;2,5;1,114;15;41.775,00
Casimiro de Abreu ;11;195;17;2,1154;11,47;412.500,00
Conceição de Macabu ;3;11,4;0,88;2,1421;12,95;24.420,00
Cordeiro ;5;295;15;0,978;19,67;288.500,00
Duas Barras ;36;377,5;25,8;1,395;14,63;526.600,00
Guapimirim ;4;36;2,8;1,8611;12,86;67.000,00
Iguaba Grande ;15;37,6;10,6;1,2074;3,55;45.400,00
Itaboraí ;3;107,8;5,5;1,3377;19,6;144.200,00
Itaocara ;13;167;8,5;1,4872;19,65;248.360,00
Itaperuna ;15;636;53;0,9283;12;590.400,00
Laje do Muriae ;1;7;0,5;1,2;14;8.400,00
Macaé ;1;0,24;0,22;4;1,09;960
Miracema ;4;18,6;1,35;1,9387;13,78;36.060,00
Paraíba do Sul ;16;524,4;21,91;1,8608;23,93;975.786,00
Paty do Alferes ;12;779;39,1;1,6305;19,92;1.270.180,00
Petrópolis ;14;286;14,35;1,608;19,93;459.900,00
Porciúncula ;8;15,3;1;0,3755;15,3;5.745,00
Rio Bonito ;13;160,5;13;1,5561;12,35;249.750,00
Rio Claro ;3;77,05;3,5;0,9914;22,01;76.388,00
Rio das Flores ;2;29,8;2,7;1,2773;11,04;38.064,00
Rio das Ostras ;1;1,1;0,5;1,2;2,2;1.320,00
Santo Antônio de Pádua ;14;108;9;1,9778;12;213.600,00
São Francisco de Itabapoana ;15;4.880,00;245;1,7131;19,92;8.360.000,00
São João da Barra ;50;199;20;0,906;9,95;180.300,00
São Pedro da Aldeia ;28;262;29,9;1,1053;8,76;289.600,00
Sapucaia ;35;630;35;0,6457;18;406.800,00
Sumidouro ;36;455;45,5;1,3167;10;599.100,00
Tanguá ;20;35,35;6,38;1,163;5,54;41.111,50
Vassouras ;15;343,8;16,65;1,0241;20,65;352.100,00
TOTAL ABOBORA ;520;11.839,14;747,14;1,4762;15,85;17.477.369,50
CULTURA : ABOBRINHA;;;;;;
Aperibé ;2;16;1;1,65;16;26.400,00
Barra do Pirai ;1;22,65;2,42;1,9675;9,36;44.565,00
Barra Mansas ;3;26,79;2,81;1,4401;9,53;38.579,10
Bom Jardim ;198;992;62;0,9339;16;926.400,00
Bom Jesus do Itabapoana ;3;15,1;1,9;1,4983;7,95;22.625,00
Cachoeiras de Macacu ;50;309;33,2;1,1932;9,31;368.700,00
Carmo ;5;94;5,51;0,8681;17,06;81.600,00
Cordeiro ;1;18;1;1,6;18;28.800,00
Duas Barras ;80;1.327,00;54,1;0,8697;24,53;1.154.050,00
Duque de Caxias ;2;298;20,5;2,0658;14,54;615.600,00
Itaocara ;12;122;8;1,1672;15,25;142.400,00
Itaperuna ;8;73;4;0,9;18,25;65.700,00
Magé ;12;94,5;10,5;1,5095;9;142.650,00
Miracema ;2;27,6;3,5;1,2065;7,89;33.300,00
Nova Friburgo ;78;700,36;41,7;1,3121;16,8;918.910,00
Paty do Alferes ;3;43,81;3,8;0,8498;11,53;37.229,70
Petrópolis ;27;396;23,15;1,4652;17,11;580.210,00
Pinheiral ;6;15,2;1,29;1,4016;11,78;21.305,00
Porciúncula ;5;14;1;0,5714;14;8.000,00
Porto Real ;3;60;11;2,5146;5,45;150.875,00
Quatis ;3;36,5;5,5;2,4548;6,64;89.600,00
Resende ;2;18,85;2,5;1,1374;7,54;21.440,00
Rio Claro ;4;55,43;4,5;0,9654;12,32;53.514,50
Rio de Janeiro ;39;969,5;69,25;1,1762;14;1.140.300,00
São José do Vale do Rio Preto ;296;2.175,00;145;0,5968;15;1.298.100,00
Sapucaia ;39;624;39;0,8897;16;555.200,00
Sumidouro ;173;2.007,00;111,5;0,646;18;1.296.450,00
Teresópolis ;80;812;47;0,8928;17,28;724.970,00
Trajano de Morais ;25;200;10;1,03;20;206.000,00
Varre-Sai ;3;173;11,5;1,3679;15,04;236.650,00
Vassouras ;9;60,1;2,9;1,4534;20,72;87.350,00
TOTAL ABOBRINHA ;1.174;11.796,39;741,03;0,9424;15,92;11.117.473,30
CULTURA : BERINJELA;;;;;;
Aperibé ;13;250;10;1,03;25;257.500,00
Bom Jardim ;230;3.034,00;82;0,9078;37;2.754.280,00
Cachoeiras de Macacu ;53;1.114,00;54,9;1,2571;20,29;1.400.400,00
Cantagalo ;2;21,1;0,94;1,0882;22,45;22.960,00
Carmo ;11;339,15;11,29;0,7773;30,04;263.617,50
Duas Barras ;66;1.106,00;34,9;1,4327;31,69;1.584.550,00
Duque de Caxias ;4;51,9;3,45;2,0591;15,04;106.865,00
Itaocara ;76;1.102,00;55;1,0545;20,04;1.162.060,00
Itaperuna ;10;128;5,5;1,1641;23,27;149.000,00
Magé ;15;207,5;11,5;1,6967;18,04;352.075,00
Nova Iguaçu ;15;78;8,95;0,889;8,72;69.340,00
Paty do Alferes ;3;29,86;1,25;1,5281;23,89;45.628,50
Piraí ;4;46,08;2,19;1,9112;21,04;88.066,00
Queimados ;1;5,15;0,43;1,6265;11,98;8.376,60
Rio Claro ;3;71,42;4,6;0,9213;15,53;65.799,50
Rio de Janeiro ;22;660;44,05;0,9079;14,98;599.200,00
Santo Antônio de Pádua ;8;156;6;2,0833;26;325.000,00
São Fidélis ;82;979,28;24,42;0,7981;40,1;781.603,70
São José de Ubá ;5;27;3;0,7;9;18.900,00
São José do Vale do Rio Preto ;231;2.660,00;95;0,6909;28;1.837.920,00
São Sebastião do Alto ;75;1.890,00;63;1,2208;30;2.307.300,00
Sapucaia ;40;1.040,00;40;0,83;26;863.200,00
Seropédica ;4;61,8;3,35;1,9492;18,45;120.460,00
Sumidouro ;135;3.120,00;104;1,081;30;3.372.600,00
Trajano de Morais ;21;457;21,5;2,0232;21,26;924.600,00
Vassouras ;6;53,4;2,2;1,823;24,27;97.350,00
TOTAL BERINJELA ;1.135;18.688,64;693,42;1,0476;26,95;19.578.651,80
CULTURA : CHUCHU;;;;;;
Bom Jardim ;196;4.950,00;66;0,5064;75;2.506.500,00
Cantagalo ;1;6,75;0,15;0,4833;45;3.262,50
Duas Barras ;16;1.199,00;25,8;0,9583;46,47;1.148.950,00
Duque de Caxias ;1;14,3;1,1;1,2958;13;18.530,00
Paraíba do Sul ;3;12,65;0,22;1,1035;57,5;13.959,00
Petrópolis ;73;1.600,00;51,2;1,1541;31,25;1.846.500,00
Rio Claro ;1;192,21;8;0,6095;24,03;117.147,00
Rio de Janeiro ;58;9.500,00;197;0,5762;48,22;5.474.000,00
São José do Vale do Rio Preto ;920;72.900,00;920;0,4942;79,24;36.028.000,00
Sapucaia ;42;2.184,00;42;0,9024;52;1.970.800,00
Sumidouro ;42;2.755,00;55;0,6128;50,09;1.688.400,00
Teresópolis ;30;1.667,20;25,1;0,7369;66,42;1.228.640,00
Trajano de Morais ;9;896;17,3;1,3978;51,79;1.252.400,00
TOTAL CHUCHU ;1.392;97.877,11;1.408,87;0,5445;69,47;53.297.088,50
CULTURA : ERVILHA;;;;;;
Duas Barras ;19;63,7;6,45;7,3148;9,88;465.950,00
Nova Friburgo ;80;378,36;40,5;8,1883;9,34;3.098.140,00
São José do Vale do Rio Preto ;41;77;11;4,5591;7;351.050,00
Sumidouro ;195;1.071,00;119;4,6862;9;5.018.940,00
Teresópolis ;30;23,4;3,05;4,6444;7,67;108.680,00
TOTAL ERVILHA ;365;1.613,46;180;5,6046;8,96;9.042.760,00
CULTURA : FEIJÃO GUANDU;;;;;;
Tanguá ;44;37;25,7;13,1622;1,44;487.000,00
TOTAL FEIJÃO GUANDU ;44;37;25,7;13,1622;1,44;487.000,00
CULTURA : FEIJÃO MAUÁ;;;;;;
Araruama ;35;26,45;8,15;4,0614;3,25;107.425,00
Cachoeiras de Macacu ;191;775,5;163;1,7247;4,76;1.337.500,00
Duque de Caxias ;2;2,27;0,75;2,6154;3,03;5.937,00
Magé ;74;335,75;76,5;3,1697;4,39;1.064.237,50
São Francisco de Itabapoana ;49;350,5;77;1,8475;4,55;647.550,00
São João da Barra ;28;52,8;10,5;1,5456;5,03;81.610,00
Tanguá ;21;33,2;16,35;1,9982;2,03;66.340,00
TOTAL FEIJÃO MAUÁ ;400;1.576,47;352,25;2,1;4,48;3.310.599,50
CULTURA : JILÓ;;;;;;
Angra dos Reis ;10;63,5;7;5;9,07;317.500,00
Aperibé ;40;600;30;1,4433;20;866.000,00
Barra Mansas ;3;344,85;22,07;2,6936;15,63;928.889,50
Bom Jardim ;215;2.550,00;102;0,9003;25;2.295.750,00
Bom Jesus do Itabapoana ;4;67,8;3,9;1,5279;17,38;103.595,00
Cachoeiras de Macacu ;105;2.190,00;95;1,4022;23,05;3.070.850,00
Cambuci ;116;2.258,00;122;1,8835;18,51;4.252.900,00
Cantagalo ;4;52,4;2,9;1,3174;18,07;69.030,00
Carmo ;8;216;9,74;1,7729;22,18;382.950,00
Cordeiro ;2;60;2;1,65;30;99.000,00
Duas Barras ;58;797;33,8;1,9194;23,58;1.529.800,00
Duque de Caxias ;3;77,9;5,12;2,1253;15,21;165.560,00
Itaocara ;107;1.485,00;77,5;1,4031;19,16;2.083.620,00
Itaperuna ;28;315;15,8;0,9819;19,94;309.300,00
Japeri ;37;203;24;1,634;8,46;331.700,00
Laje do Muriae ;2;0,7;0,7;2,1429;1;1.500,00
Magé ;18;216,45;15,75;2,1753;13,74;470.835,00
Miguel Pereira ;2;30,5;1,7;1,6346;17,94;49.854,50
Natividade ;4;36;2;2,3;18;82.800,00
Nova Friburgo ;38;559,9;26,5;1,9849;21,13;1.111.340,00
Nova Iguaçu ;54;180;20,8;1,4264;8,65;256.750,00
Paraíba do Sul ;11;47,9;2,26;1,9008;21,19;91.049,00
Paty do Alferes ;6;64,05;3,53;1,677;18,14;107.414,50
Petrópolis ;41;580;25,5;2,1644;22,75;1.255.350,00
Pinheiral ;8;23,6;1,47;2,5952;16,05;61.247,50
Piraí ;10;40,5;2,2;2,3543;18,41;95.350,00
Porciúncula ;2;13;1;0,8462;13;11.000,00
Quatis ;2;19;2;2,9105;9,5;55.300,00
Queimados ;2;24,6;1,35;1,4939;18,22;36.750,00
Resende ;3;13,95;1,25;2,3324;11,16;32.537,50
Rio Bonito ;12;84;12;2;7;168.000,00
Rio Claro ;3;104,8;7,1;0,9471;14,76;99.254,00
Rio de Janeiro ;36;478,8;34,29;1,1339;13,96;542.916,00
Santo Antônio de Pádua ;15;216;12;2,25;18;486.000,00
São Fidélis ;65;438,25;17,27;0,9128;25,38;400.045,60
São João da Barra ;30;276;18,25;1,114;15,12;307.455,00
São José do Vale do Rio Preto ;197;1.825,00;73;1,0978;25;2.003.500,00
São Sebastião do Alto ;84;1.760,00;80;1,8794;22;3.307.700,00
Sapucaia ;40;1.000,00;40;1,2325;25;1.232.500,00
Silva Jardim ;7;169;13;0,9746;13;164.700,00
Sumidouro ;195;3.128,00;136;1,1261;23;3.522.335,00
Teresópolis ;70;459,2;20;1,3134;22,96;603.122,00
Trajano de Morais ;24;494,5;20,2;1,8503;24,48;914.980,00
Valença ;6;65,28;2,82;2,5473;23,15;166.290,00
Varre-Sai ;7;160;7,5;1,6091;21,33;257.450,00
Vassouras ;16;187;6,55;1,9043;28,55;356.100,00
Volta Redonda ;6;65,3;3,4;2,2737;19,21;148.470,00
TOTAL JILÓ ;1.756;24.041,73;1.164,22;1,4644;20,65;35.206.340,10
CULTURA : MAXIXE;;;;;;
Bom Jardim ;128;155;31;1,1226;5;174.000,00
Cachoeiras de Macacu ;27;139;16,4;1,761;8,48;244.780,00
Campos dos Goytacases ;36;104;8,2;0,812;12,68;84.450,00
Iguaba Grande ;5;2,4;2,2;1,5583;1,09;3.740,00
Magé ;15;15,25;4,3;2,941;3,55;44.850,00
Paty do Alferes ;3;93,52;7;1,8137;13,36;169.615,70
Petrópolis ;12;98;8,8;1,7194;11,14;168.500,00
São João da Barra ;110;477;45;1,4036;10,6;669.500,00
São José do Vale do Rio Preto ;84;324;27;0,9396;12;304.440,00
São Pedro da Aldeia ;11;11;8,1;1,8909;1,36;20.800,00
Seropédica ;6;12,3;2,1;0,5374;5,86;6.610,00
TOTAL MAXIXE ;437;1.431,47;160,1;1,3212;8,94;1.891.285,70
CULTURA : MELANCIA;;;;;;
Duas Barras ;6;8,6;0,4;0,7733;21,5;6.650,00
TOTAL MELANCIA ;6;8,6;0,4;0,7733;21,5;6.650,00
