RELATÓRIO POR CULTURAS DO SISTEMA ASPA/AGROGEO-ANO2019;;;;;;
ESTADO DO RIO DE JANEIRO;;;;;;
;;;;;;
CULTURAS/MUNICIPIOS;Nº  PRODUTORES;PRODUÇÃO COLHIDA (t);ÁREA COLHIDA (ha);PREÇO   (R$/KG);PRODUTIVIDADE    (t/ha);FATURAMENTO BRUTO(R$)
GRUPO : Fruticultura;;;;;;
CULTURA : ABACATE;;;;;;
CULTURA : BANANA PRATA;;;;;;
Armação dos Búzios ;4;36,3;3;2,8711;12,1;104.220,00
Bom Jardim ;85;242;24;0,8986;10,08;217.470,00
Cabo Frio ;7;88;9;2,777;9,78;244.375,00
Cachoeiras de Macacu ;70;1.574,00;147;1,0175;10,71;1.601.600,00
Campos dos Goytacases ;56;251;24,8;1,6508;10,12;414.350,00
Carmo ;5;14,12;1,22;1,6357;11,57;23.095,70
Cordeiro ;2;72;6,3;1,3;11,43;93.600,00
Duas Barras ;55;811;61,6;1,434;13,17;1.162.950,00
Duque de Caxias ;20;639;90,5;3,3375;7,06;2.132.650,00
Engenheiro Paulo de Frontin ;19;160,5;18,35;1,9414;8,75;311.600,00
Iguaba Grande ;3;20,1;2;3,3159;10,05;66.650,00
Itaperuna ;2;120,9;9,4;1,3955;12,86;168.720,00
Japeri ;99;850;69;0,867;12,32;736.940,00
Laje do Muriae ;3;29,2;1,75;1,8527;16,69;54.100,00
Macaé ;47;640;112,11;0,5287;5,71;338.350,00
Mangaratiba ;240;20.204,00;2.830,00;1,5112;7,14;30.532.000,00
Maricá ;30;136,12;19,5;0,8589;6,98;116.918,00
Natividade ;1;16,58;1;1,3718;16,58;22.745,00
Niterói ;2;16;2;2,5835;8;41.336,00
Nova Friburgo ;60;675,3;60;2,2019;11,26;1.486.975,00
Nova Iguaçu ;96;499;78;0,8718;6,4;435.010,00
Paraíba do Sul ;12;311,3;28,49;2,0147;10,93;627.183,00
Pinheiral ;13;753,3;108,22;2,4558;6,96;1.849.935,00
Piraí ;30;801,25;133,08;2,2029;6,02;1.765.062,50
Queimados ;22;113,75;8,72;0,9217;13,04;104.839,50
Rio Bonito ;52;1.032,00;86;1,0233;12;1.056.000,00
Rio Claro ;14;591,45;136,9;1,8593;4,32;1.099.666,00
Rio das Flores ;4;7,5;1,2;1,722;6,25;12.915,00
Rio de Janeiro ;103;3.257,60;417,72;1,1421;7,8;3.720.652,00
Santa Maria Madalena ;10;2.640,00;240;1,8164;11;4.795.296,00
São Gonçalo ;10;48;6;2,4345;8;116.856,00
São José do Vale do Rio Preto ;12;150;12;1,2007;12,5;180.110,00
São Pedro da Aldeia ;15;150,6;15;3,2967;10,04;496.480,00
Saquarema ;210;2.660,00;502;1,1664;5,3;3.102.500,00
Silva Jardim ;43;771;142;1,0759;5,43;829.500,00
Sumidouro ;112;2.520,00;252;1,3822;10;3.483.200,00
Trajano de Morais ;51;1.993,46;165,6;2,0303;12,04;4.047.347,00
Vassouras ;14;99;9,65;2,2616;10,26;223.900,00
